"cpu","trial","total_ms","model_load_ms"
"0.1","1","41085.5","41085.4"
"0.1","2","40587.3","40587.2"
"0.25","1","22444.8","22444.7"
"0.25","2","20635.8","20635.7"
"0.5","1","17800.3","17800.2"
"0.5","2","15020.3","15020.2"
"0.75","1","13213.3","13213.2"
"0.75","2","13662.5","13662.4"
"1.0","1","12960.6","12960.5"
"1.0","2","14879.6","14879.5"
"1.5","1","13653.8","13653.6"
"1.5","2","13180.9","13180.8"
"2.0","1","12345.1","12345.0"
"2.0","2","14402.2","14402.1"
"3.0","1","12385.3","12385.2"
"3.0","2","13131.1","13131.0"
"4.0","1","12166.4","12166.3"
"4.0","2","11763.3","11763.2"
"6.0","1","12904.7","12904.6"
"6.0","2","12670.1","12670.0"
