"cpu","cache","trial","total_ms","model_load_ms"
"0.5","cold","1","14054.6","14054.5"
"0.5","warm","1","5508.8","5508.6"
"0.5","cold","2","14405.8","14405.7"
"0.5","warm","2","5602.0","5601.9"
"0.5","cold","3","14338.8","14338.7"
"0.5","warm","3","5585.3","5585.2"
"1.0","cold","1","12003.7","12003.6"
"1.0","warm","1","2782.1","2782.1"
"1.0","cold","2","13161.9","13161.8"
"1.0","warm","2","2821.7","2821.6"
"1.0","cold","3","12162.8","12162.7"
"1.0","warm","3","2800.1","2800.0"
"4.0","cold","1","11860.7","11860.7"
"4.0","warm","1","2756.1","2756.0"
"4.0","cold","2","13345.2","13345.1"
"4.0","warm","2","2823.1","2823.0"
"4.0","cold","3","15536.1","15536.0"
"4.0","warm","3","2891.3","2891.2"
