cpu,cache,trial,total_ms,model_load_ms
0.5,cold,1,16854.4,16854.1
0.5,warm,1,6447.5,6446.9
0.5,cold,2,15860.1,15859.6
0.5,warm,2,7075.6,7075.2
0.5,cold,3,16275.2,16274.8
0.5,warm,3,6168.1,6167.8
1.0,cold,1,13889.3,13888.8
1.0,warm,1,3731.2,3730.8
1.0,cold,2,13359.9,13359.5
1.0,warm,2,3328.7,3328.2
1.0,cold,3,12707.4,12706.8
1.0,warm,3,3318.3,3317.9
4.0,cold,1,13155.3,13155.0
4.0,warm,1,3506.1,3505.8
4.0,cold,2,12952.2,12951.7
4.0,warm,2,3046.1,3045.5
4.0,cold,3,11719.4,11719.0
4.0,warm,3,2950.1,2949.5
