elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,108.19,419.8MiB / 512MiB,81.99
4.1,96.84,419.5MiB / 512MiB,81.94
6.1,99.64,419.8MiB / 512MiB,81.98
8.2,99.51,420MiB / 512MiB,82.03
10.2,100.00,420MiB / 512MiB,82.03
13.2,99.51,420MiB / 512MiB,82.03
15.2,103.80,420MiB / 512MiB,82.03
17.3,99.78,419.7MiB / 512MiB,81.98
19.3,97.54,419.7MiB / 512MiB,81.98
22.4,101.57,419.7MiB / 512MiB,81.98
24.4,99.79,419.7MiB / 512MiB,81.98
26.4,98.73,419.7MiB / 512MiB,81.97
28.5,99.29,419.7MiB / 512MiB,81.97
30.6,74.04,419.7MiB / 512MiB,81.97
