elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,199.23,419.3MiB / 512MiB,81.90
4.1,198.27,419.6MiB / 512MiB,81.95
6.1,204.10,420.3MiB / 512MiB,82.09
8.2,198.39,420MiB / 512MiB,82.03
10.2,199.81,420MiB / 512MiB,82.02
12.2,198.28,420.2MiB / 512MiB,82.07
15.3,198.97,419.9MiB / 512MiB,82.01
17.3,197.65,419.9MiB / 512MiB,82.01
19.4,198.49,420.1MiB / 512MiB,82.05
21.4,204.92,419.8MiB / 512MiB,82.00
24.4,196.47,420MiB / 512MiB,82.04
26.5,198.36,419.8MiB / 512MiB,81.99
28.5,199.69,420.5MiB / 512MiB,82.13
30.6,128.01,420.2MiB / 512MiB,82.08
