label,request_index,item_id,status,elapsed_ms
sandboxed_0.1,1,Q_001,success,598.1
sandboxed_0.1,2,Q_002,success,599.7
sandboxed_0.1,3,Q_003,success,799.8
sandboxed_0.1,4,Q_004,success,901.6
sandboxed_0.1,5,Q_005,success,897.2
sandboxed_0.1,6,Q_006,success,699.0
sandboxed_0.1,7,Q_007,success,600.6
sandboxed_0.1,8,Q_008,success,598.4
sandboxed_0.1,9,Q_009,success,599.5
sandboxed_0.1,10,Q_010,success,698.7
sandboxed_0.1,11,Q_011,success,7502.0
sandboxed_0.1,12,Q_012,success,14496.0
sandboxed_0.1,13,Q_013,success,10000.1
sandboxed_0.1,14,Q_014,success,10899.3
sandboxed_0.1,15,Q_015,success,9099.9
sandboxed_0.1,16,Q_016,success,9298.5
sandboxed_0.1,17,Q_017,success,4898.8
sandboxed_0.1,18,Q_018,success,4598.7
sandboxed_0.1,19,Q_019,success,5799.8
sandboxed_0.1,20,Q_020,success,7599.3
unsandboxed_0.1,1,Q_001,success,896.6
unsandboxed_0.1,2,Q_002,success,604.0
unsandboxed_0.1,3,Q_003,success,600.8
unsandboxed_0.1,4,Q_004,success,695.6
unsandboxed_0.1,5,Q_005,success,500.2
unsandboxed_0.1,6,Q_006,success,600.3
unsandboxed_0.1,7,Q_007,success,503.4
unsandboxed_0.1,8,Q_008,success,594.5
unsandboxed_0.1,9,Q_009,success,500.0
unsandboxed_0.1,10,Q_010,success,499.7
unsandboxed_0.1,11,Q_011,success,501.8
unsandboxed_0.1,12,Q_012,success,698.2
unsandboxed_0.1,13,Q_013,success,600.8
unsandboxed_0.1,14,Q_014,success,500.0
unsandboxed_0.1,15,Q_015,success,401.3
unsandboxed_0.1,16,Q_016,success,598.4
unsandboxed_0.1,17,Q_017,success,600.9
unsandboxed_0.1,18,Q_018,timeout_or_error,15030.5
unsandboxed_0.1,19,Q_019,timeout_or_error,15006.1
unsandboxed_0.1,20,Q_020,success,5659.1
sandboxed_0.25,1,Q_001,success,3899.8
sandboxed_0.25,2,Q_002,success,4600.0
sandboxed_0.25,3,Q_003,success,5499.6
sandboxed_0.25,4,Q_004,success,5499.4
sandboxed_0.25,5,Q_005,success,5399.2
sandboxed_0.25,6,Q_006,success,6500.9
sandboxed_0.25,7,Q_007,success,6696.3
sandboxed_0.25,8,Q_008,success,5400.6
sandboxed_0.25,9,Q_009,success,6299.7
sandboxed_0.25,10,Q_010,success,4098.6
sandboxed_0.25,11,Q_011,success,7300.6
sandboxed_0.25,12,Q_012,success,5697.5
sandboxed_0.25,13,Q_013,success,3099.6
sandboxed_0.25,14,Q_014,success,5601.8
sandboxed_0.25,15,Q_015,success,7697.2
sandboxed_0.25,16,Q_016,success,4198.4
sandboxed_0.25,17,Q_017,success,5401.4
sandboxed_0.25,18,Q_018,success,4897.1
sandboxed_0.25,19,Q_019,success,9699.5
sandboxed_0.25,20,Q_020,success,5405.2
unsandboxed_0.25,1,Q_001,success,5099.1
unsandboxed_0.25,2,Q_002,success,6199.6
unsandboxed_0.25,3,Q_003,success,3200.4
unsandboxed_0.25,4,Q_004,success,6699.5
