cpu,request_index,outcome,elapsed_ms
0.1,0,timeout,10011.7
0.1,1,timeout,10027.9
0.1,2,success,6338.2
0.1,3,success,1296.0
0.1,4,success,901.1
0.1,5,success,799.4
0.1,6,success,698.8
0.1,7,success,602.2
0.1,8,success,798.3
0.1,9,success,899.2
0.1,10,success,797.4
0.1,11,success,700.8
0.1,12,success,599.4
0.1,13,success,499.6
0.1,14,success,696.6
0.25,0,success,8876.9
0.25,1,timeout,10003.3
0.25,2,timeout,10027.4
0.25,3,success,2773.4
0.25,4,success,198.3
0.25,5,success,198.8
0.25,6,success,198.2
0.25,7,success,204.3
0.25,8,success,200.2
0.25,9,success,200.3
0.25,10,success,200.2
0.25,11,success,292.9
0.25,12,success,196.7
0.25,13,success,108.1
0.25,14,success,290.6
0.5,0,success,64.8
0.5,1,success,97.2
0.5,2,success,99.5
0.5,3,success,95.8
0.5,4,success,18.6
0.5,5,success,94.8
0.5,6,success,95.7
0.5,7,success,98.3
0.5,8,success,99.1
0.5,9,success,97.7
0.5,10,success,96.7
0.5,11,success,97.4
0.5,12,success,20.7
0.5,13,success,93.8
0.5,14,success,97.6
0.75,0,success,233.3
0.75,1,success,1098.3
0.75,2,success,399.8
0.75,3,success,500.4
0.75,4,success,798.9
0.75,5,success,799.3
0.75,6,success,801.1
0.75,7,success,999.1
0.75,8,success,400.1
0.75,9,success,796.4
0.75,10,success,602.3
0.75,11,success,699.1
0.75,12,success,1299.3
0.75,13,success,700.6
0.75,14,success,1999.1
1.0,0,success,55.2
1.0,1,success,387.0
1.0,2,success,200.1
1.0,3,success,403.7
1.0,4,success,496.0
1.0,5,success,1095.9
1.0,6,success,1201.2
1.0,7,success,303.5
1.0,8,success,296.6
1.0,9,success,699.5
1.0,10,success,1094.5
1.0,11,success,1104.2
1.0,12,success,994.8
1.0,13,success,102.0
1.0,14,success,500.1
1.5,0,success,53.9
1.5,1,success,95.5
1.5,2,success,98.6
1.5,3,success,102.2
1.5,4,success,97.7
1.5,5,success,101.8
1.5,6,success,102.0
1.5,7,success,196.1
1.5,8,success,196.9
1.5,9,success,101.3
1.5,10,success,104.5
1.5,11,success,95.4
1.5,12,success,101.0
1.5,13,success,97.4
1.5,14,success,100.7
2.0,0,success,59.0
2.0,1,success,84.3
2.0,2,success,99.9
2.0,3,success,101.7
2.0,4,success,104.0
2.0,5,success,96.7
2.0,6,success,102.9
2.0,7,success,99.8
2.0,8,success,96.9
2.0,9,success,95.8
2.0,10,success,101.1
2.0,11,success,99.0
2.0,12,success,98.7
2.0,13,success,8.3
2.0,14,success,97.3
3.0,0,success,58.6
3.0,1,success,50.0
3.0,2,success,51.6
3.0,3,success,51.8
3.0,4,success,57.2
3.0,5,success,51.0
3.0,6,success,50.7
3.0,7,success,71.4
3.0,8,success,53.9
3.0,9,success,52.8
3.0,10,success,49.1
3.0,11,success,52.3
3.0,12,success,52.2
3.0,13,success,50.9
3.0,14,success,53.5
4.0,0,success,52.5
4.0,1,success,52.8
4.0,2,success,51.1
4.0,3,success,51.9
4.0,4,success,52.6
4.0,5,success,52.2
4.0,6,success,52.7
4.0,7,success,48.9
4.0,8,success,52.1
4.0,9,success,52.0
4.0,10,success,52.1
4.0,11,success,51.6
4.0,12,success,53.4
4.0,13,success,50.4
4.0,14,success,52.3
6.0,0,success,56.8
6.0,1,success,51.6
6.0,2,success,51.2
6.0,3,success,52.9
6.0,4,success,50.6
6.0,5,success,53.3
6.0,6,success,50.5
6.0,7,success,52.6
6.0,8,success,50.8
6.0,9,success,54.9
6.0,10,success,53.7
6.0,11,success,53.7
6.0,12,success,50.3
6.0,13,success,52.4
6.0,14,success,50.0
