cpu_label,phase,request_index,item_id,status,elapsed_ms,tcp_retransmit_delta_for_batch
0.1,immediate,1,Q_001,timeout_or_error,10010.8,
0.1,immediate,2,Q_002,timeout_or_error,10017.4,
0.1,immediate,3,Q_003,success,6413.8,
0.1,immediate,4,Q_004,success,600.2,
0.1,immediate,5,Q_005,success,699.4,
0.1,immediate,6,Q_006,success,498.1,
0.1,immediate,7,Q_007,success,503.1,
0.1,immediate,8,Q_008,success,696.5,
0.1,immediate,9,Q_009,success,497.6,
0.1,immediate,10,Q_010,success,701.0,
0.1,immediate,11,Q_011,success,501.8,
0.1,immediate,12,Q_012,success,501.2,
0.1,immediate,13,Q_013,success,697.5,
0.1,immediate,14,Q_014,success,500.9,
0.1,immediate,15,Q_015,success,497.8,
0.1,steady,1,Q_001,success,7444.2,
0.1,steady,2,Q_002,success,4498.8,
0.1,steady,3,Q_003,success,6199.3,
0.1,steady,4,Q_004,success,5799.5,
0.1,steady,5,Q_005,success,5999.6,
0.1,steady,6,Q_006,success,6599.4,
0.1,steady,7,Q_007,success,9099.6,
0.1,steady,8,Q_008,success,6498.7,
0.1,steady,9,Q_009,success,6600.0,
0.1,steady,10,Q_010,success,4899.8,
0.1,steady,11,Q_011,success,4199.8,
0.1,steady,12,Q_012,success,6198.6,
0.1,steady,13,Q_013,success,4099.5,
0.1,steady,14,Q_014,timeout_or_error,10031.2,
0.1,steady,15,Q_015,timeout_or_error,10020.8,
0.25,immediate,1,Q_001,success,3066.1,
0.25,immediate,2,Q_002,success,2895.4,
0.25,immediate,3,Q_003,success,3200.6,
0.25,immediate,4,Q_004,success,3599.3,
0.25,immediate,5,Q_005,success,3599.2,
0.25,immediate,6,Q_006,success,3800.0,
0.25,immediate,7,Q_007,success,3299.1,
0.25,immediate,8,Q_008,success,4199.9,
0.25,immediate,9,Q_009,success,3799.5,
0.25,immediate,10,Q_010,success,2799.2,
0.25,immediate,11,Q_011,success,2200.9,
0.25,immediate,12,Q_012,success,3198.2,
0.25,immediate,13,Q_013,success,1999.8,
0.25,immediate,14,Q_014,success,3099.8,
0.25,immediate,15,Q_015,success,2100.1,
0.25,steady,1,Q_001,success,6493.3,
0.25,steady,2,Q_002,success,3800.2,
0.25,steady,3,Q_003,success,2999.5,
0.25,steady,4,Q_004,success,2599.0,
0.25,steady,5,Q_005,success,2399.4,
0.25,steady,6,Q_006,success,2699.7,
0.25,steady,7,Q_007,success,2699.5,
0.25,steady,8,Q_008,success,1399.6,
0.25,steady,9,Q_009,success,1700.7,
0.25,steady,10,Q_010,success,2098.8,
0.25,steady,11,Q_011,success,2799.3,
0.25,steady,12,Q_012,success,3099.6,
0.25,steady,13,Q_013,success,2799.4,
0.25,steady,14,Q_014,success,2500.8,
0.25,steady,15,Q_015,success,2299.8,
0.5,immediate,1,Q_001,success,1243.8,
0.5,immediate,2,Q_002,success,2800.2,
0.5,immediate,3,Q_003,success,2799.2,
0.5,immediate,4,Q_004,success,2502.6,
0.5,immediate,5,Q_005,success,2897.9,
0.5,immediate,6,Q_006,success,2298.2,
0.5,immediate,7,Q_007,success,1800.1,
0.5,immediate,8,Q_008,success,2199.8,
0.5,immediate,9,Q_009,success,2902.6,
0.5,immediate,10,Q_010,success,2796.8,
0.5,immediate,11,Q_011,success,1999.5,
0.5,immediate,12,Q_012,success,2800.1,
0.5,immediate,13,Q_013,success,2399.1,
0.5,immediate,14,Q_014,success,2299.4,
0.5,immediate,15,Q_015,success,1899.2,
0.5,steady,1,Q_001,success,3724.8,
0.5,steady,2,Q_002,success,1299.3,
0.5,steady,3,Q_003,success,1302.0,
0.5,steady,4,Q_004,success,1197.4,
0.5,steady,5,Q_005,success,2099.2,
0.5,steady,6,Q_006,success,1999.5,
0.5,steady,7,Q_007,success,699.2,
0.5,steady,8,Q_008,success,1300.5,
0.5,steady,9,Q_009,success,1299.9,
0.5,steady,10,Q_010,success,1300.6,
0.5,steady,11,Q_011,success,1498.7,
0.5,steady,12,Q_012,success,1500.3,
0.5,steady,13,Q_013,success,1599.3,
0.5,steady,14,Q_014,success,1200.4,
0.5,steady,15,Q_015,success,1699.6,
1.0,immediate,1,Q_001,success,18.6,
1.0,immediate,2,Q_002,success,112.3,
1.0,immediate,3,Q_003,success,291.8,
1.0,immediate,4,Q_004,success,200.5,
1.0,immediate,5,Q_005,success,299.3,
1.0,immediate,6,Q_006,success,201.0,
1.0,immediate,7,Q_007,success,200.8,
1.0,immediate,8,Q_008,success,200.1,
1.0,immediate,9,Q_009,success,200.5,
1.0,immediate,10,Q_010,success,296.4,
1.0,immediate,11,Q_011,success,103.3,
1.0,immediate,12,Q_012,success,196.3,
1.0,immediate,13,Q_013,success,107.6,
1.0,immediate,14,Q_014,success,194.6,
1.0,immediate,15,Q_015,success,300.9,
1.0,steady,1,Q_001,success,195.5,
1.0,steady,2,Q_002,success,105.0,
1.0,steady,3,Q_003,success,196.2,
1.0,steady,4,Q_004,success,298.7,
1.0,steady,5,Q_005,success,103.8,
1.0,steady,6,Q_006,success,297.2,
1.0,steady,7,Q_007,success,198.1,
1.0,steady,8,Q_008,success,198.0,
1.0,steady,9,Q_009,success,199.9,
1.0,steady,10,Q_010,success,104.5,
1.0,steady,11,Q_011,success,203.5,
1.0,steady,12,Q_012,success,297.1,
1.0,steady,13,Q_013,success,197.4,
1.0,steady,14,Q_014,success,201.3,
1.0,steady,15,Q_015,success,201.0,
3.0,immediate,1,Q_001,success,16.3,
3.0,immediate,2,Q_002,success,15.7,
3.0,immediate,3,Q_003,success,64.1,
3.0,immediate,4,Q_004,success,94.5,
3.0,immediate,5,Q_005,success,34.2,
3.0,immediate,6,Q_006,success,71.1,
3.0,immediate,7,Q_007,success,93.2,
3.0,immediate,8,Q_008,success,13.7,
3.0,immediate,9,Q_009,success,88.8,
3.0,immediate,10,Q_010,success,29.1,
3.0,immediate,11,Q_011,success,72.1,
3.0,immediate,12,Q_012,success,13.0,
3.0,immediate,13,Q_013,success,88.1,
3.0,immediate,14,Q_014,success,26.5,
3.0,immediate,15,Q_015,success,74.5,
3.0,steady,1,Q_001,success,16.5,
3.0,steady,2,Q_002,success,18.0,
3.0,steady,3,Q_003,success,69.3,
3.0,steady,4,Q_004,success,97.5,
3.0,steady,5,Q_005,success,15.4,
3.0,steady,6,Q_006,success,88.1,
3.0,steady,7,Q_007,success,12.5,
3.0,steady,8,Q_008,success,86.5,
3.0,steady,9,Q_009,success,12.1,
3.0,steady,10,Q_010,success,86.9,
3.0,steady,11,Q_011,success,12.3,
3.0,steady,12,Q_012,success,90.8,
3.0,steady,13,Q_013,success,94.0,
3.0,steady,14,Q_014,success,34.7,
3.0,steady,15,Q_015,success,65.8,
6.0,immediate,1,Q_001,success,42.6,
6.0,immediate,2,Q_002,success,25.0,
6.0,immediate,3,Q_003,success,31.1,
6.0,immediate,4,Q_004,success,30.8,
6.0,immediate,5,Q_005,success,30.6,
6.0,immediate,6,Q_006,success,31.3,
6.0,immediate,7,Q_007,success,13.8,
6.0,immediate,8,Q_008,success,34.5,
6.0,immediate,9,Q_009,success,27.0,
6.0,immediate,10,Q_010,success,11.7,
6.0,immediate,11,Q_011,success,34.6,
6.0,immediate,12,Q_012,success,30.1,
6.0,immediate,13,Q_013,success,31.8,
6.0,immediate,14,Q_014,success,29.5,
6.0,immediate,15,Q_015,success,13.9,
6.0,steady,1,Q_001,success,49.7,
6.0,steady,2,Q_002,success,35.3,
6.0,steady,3,Q_003,success,31.3,
6.0,steady,4,Q_004,success,30.8,
6.0,steady,5,Q_005,success,11.6,
6.0,steady,6,Q_006,success,14.0,
6.0,steady,7,Q_007,success,12.8,
6.0,steady,8,Q_008,success,12.1,
6.0,steady,9,Q_009,success,54.8,
6.0,steady,10,Q_010,success,13.0,
6.0,steady,11,Q_011,success,35.5,
6.0,steady,12,Q_012,success,46.4,
6.0,steady,13,Q_013,success,30.5,
6.0,steady,14,Q_014,success,30.4,
6.0,steady,15,Q_015,success,29.3,
