cpu_label,phase,request_index,request_id,item_id,status,error_type,tcp_connect_ms,tcp_connect_error,total_elapsed_ms,cgroup_nr_periods_delta,cgroup_nr_throttled_delta,cgroup_throttled_time_delta_ns
0.1,immediate,1,8ee341de,Q_001,fail,read_timeout,19.4,,10022.2,664,664,0
0.1,immediate,2,2a9f4a1a,Q_002,fail,read_timeout,15.5,,10017.3,664,664,0
0.1,immediate,3,812592f2,Q_003,success,,14.8,,6091.1,664,664,0
0.1,immediate,4,52fbfbd4,Q_004,success,,19.0,,682.3,664,664,0
0.1,immediate,5,01bf4065,Q_005,success,,14.1,,485.7,664,664,0
0.1,immediate,6,660c9c71,Q_006,success,,16.5,,779.0,664,664,0
0.1,immediate,7,8fad576f,Q_007,success,,0.4,,500.9,664,664,0
0.1,immediate,8,3a631246,Q_008,success,,0.6,,502.0,664,664,0
0.1,immediate,9,dc647332,Q_009,success,,16.6,,581.8,664,664,0
0.1,immediate,10,731abb1e,Q_010,success,,9.7,,689.2,664,664,0
0.1,immediate,11,b8e71ad2,Q_011,success,,20.7,,577.9,664,664,0
0.1,immediate,12,1b4625f9,Q_012,success,,15.7,,486.0,664,664,0
0.1,immediate,13,c7836a71,Q_013,success,,0.5,,699.3,664,664,0
0.1,immediate,14,5f1efc92,Q_014,success,,25.0,,573.0,664,664,0
0.1,immediate,15,f850f7dd,Q_015,success,,10.9,,487.4,664,664,0
0.1,immediate,16,26ab4406,Q_016,success,,16.6,,485.3,664,664,0
0.1,immediate,17,18bab33a,Q_017,success,,12.3,,490.7,664,664,0
0.1,immediate,18,2229054d,Q_018,success,,0.4,,795.8,664,664,0
0.1,immediate,19,668c17cd,Q_019,success,,0.5,,500.1,664,664,0
0.1,immediate,20,02840109,Q_020,success,,11.0,,589.3,664,664,0
0.1,immediate,21,da5e057b,Q_001,fail,read_timeout,12.8,,10030.5,664,664,0
0.1,immediate,22,87191386,Q_002,fail,read_timeout,0.5,,10013.9,664,664,0
0.1,immediate,23,90ed9684,Q_003,success,,0.5,,5539.1,664,664,0
0.1,immediate,24,56ed5208,Q_004,success,,18.9,,581.5,664,664,0
0.1,immediate,25,6ef3177f,Q_005,success,,24.1,,773.9,664,664,0
0.1,immediate,26,b0d942c8,Q_006,success,,23.9,,574.6,664,664,0
0.1,immediate,27,475752ae,Q_007,success,,0.5,,400.8,664,664,0
0.1,immediate,28,77849237,Q_008,success,,0.5,,501.0,664,664,0
0.1,immediate,29,5e9943a2,Q_009,success,,0.5,,700.2,664,664,0
0.1,immediate,30,21ee4ca1,Q_010,success,,22.3,,774.2,664,664,0
0.1,steady,1,867cf909,Q_001,fail,read_timeout,2.8,,10005.5,673,673,0
0.1,steady,2,7439e40a,Q_002,fail,read_timeout,15.1,,10005.4,673,673,0
0.1,steady,3,2d2a862b,Q_003,success,,15.1,,8440.0,673,673,0
0.1,steady,4,8b41c19c,Q_004,success,,13.6,,584.7,673,673,0
0.1,steady,5,5d7ed6e7,Q_005,success,,20.9,,481.5,673,673,0
0.1,steady,6,87e929fa,Q_006,success,,0.4,,498.9,673,673,0
0.1,steady,7,d6e8374e,Q_007,success,,0.6,,599.8,673,673,0
0.1,steady,8,88970fa2,Q_008,success,,14.6,,483.7,673,673,0
0.1,steady,9,060785e9,Q_009,success,,0.5,,500.1,673,673,0
0.1,steady,10,7dcfc7c8,Q_010,success,,11.7,,584.9,673,673,0
0.1,steady,11,64ec4539,Q_011,success,,0.5,,404.9,673,673,0
0.1,steady,12,a0642349,Q_012,success,,21.1,,575.7,673,673,0
0.1,steady,13,acc9aa7a,Q_013,success,,14.0,,486.2,673,673,0
0.1,steady,14,e031bf71,Q_014,success,,0.5,,497.3,673,673,0
0.1,steady,15,01e1fcb8,Q_015,success,,12.0,,488.5,673,673,0
0.1,steady,16,414e3135,Q_016,success,,21.1,,578.7,673,673,0
0.1,steady,17,34d5061b,Q_017,success,,23.4,,477.3,673,673,0
0.1,steady,18,bc1df622,Q_018,success,,20.9,,480.1,673,673,0
0.1,steady,19,139308f7,Q_019,success,,13.0,,684.8,673,673,0
0.1,steady,20,ca239c8a,Q_020,success,,0.4,,699.1,673,673,0
0.1,steady,21,0dacf6d5,Q_001,success,,21.7,,578.9,673,673,0
0.1,steady,22,d7df759a,Q_002,fail,read_timeout,13.6,,10003.9,673,673,0
0.1,steady,23,651b0627,Q_003,fail,read_timeout,14.2,,10018.6,673,673,0
0.1,steady,24,7b88da9d,Q_004,success,,11.2,,5336.5,673,673,0
0.1,steady,25,2100d40f,Q_005,success,,16.8,,482.6,673,673,0
0.1,steady,26,4bfea06c,Q_006,success,,23.0,,575.0,673,673,0
0.1,steady,27,436ba93c,Q_007,success,,0.6,,498.9,673,673,0
0.1,steady,28,e2171f73,Q_008,success,,16.9,,484.9,673,673,0
0.1,steady,29,efc2942c,Q_009,success,,10.5,,686.9,673,673,0
0.1,steady,30,99e8b68d,Q_010,success,,14.8,,487.3,673,673,0
0.25,immediate,1,daaebea3,Q_001,success,,2.7,,202.0,992,991,0
