item_id,design_subtype,kmeans_cluster
Q_101,WA-F,0
Q_102,WA-F,0
Q_103,WA-F,0
Q_104,WA-D,1
Q_105,WA-F,0
Q_106,WA-F,0
Q_107,WA-F,1
Q_108,WA-F,0
Q_109,WA-F,0
Q_110,WA-F,0
Q_111,WA-F,1
Q_112,WA-F,1
Q_113,WA-D,1
Q_114,WA-D,1
Q_115,WA-D,0
Q_116,WA-D,0
Q_117,WA-F,1
Q_118,WA-F,0
Q_119,WA-D,0
Q_120,WA-D,0
Q_121,WA-D,1
Q_122,WA-D,1
Q_123,WA-D,1
Q_124,WA-D,1
Q_125,WA-D,1
Q_126,WA-D,1
Q_127,WA-D,0
Q_128,WA-D,0
Q_129,WA-F,0
Q_130,WA-D,0
Q_131,WA-F,1
Q_132,WA-F,0
Q_133,WA-F,1
Q_134,WA-F,1
Q_135,WA-F,1
Q_136,WA-D,0
Q_137,WA-F,0
Q_138,WA-D,0
Q_139,WA-D,1
Q_140,WA-F,1
Q_141,WA-F,1
Q_142,WA-F,0
Q_143,WA-D,1
Q_144,WA-F,1
Q_145,WA-F,0
Q_146,WA-D,0
Q_147,WA-D,0
Q_148,WA-D,1
Q_149,WA-D,1
Q_150,WA-D,0
